file	class	field	type	optional	decorators
/opt/rh-saas/backend/src/modules/auth/dto/login.dto.ts	LoginDto	email	string	NAO	@IsEmail({}, { message: 'Forneça um e-mail válido.' }) @IsNotEmpty()
/opt/rh-saas/backend/src/modules/auth/dto/login.dto.ts	LoginDto	password	string	NAO	@IsNotEmpty() @MinLength(6, { message: 'A senha deve ter no mínimo 6 caracteres.' })
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	CreateEmployeeDto	firstName	string	NAO	@IsString() @IsNotEmpty()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	CreateEmployeeDto	lastName	string	NAO	@IsString() @IsNotEmpty()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	CreateEmployeeDto	cpf	string	NAO	@IsString() @Length(11, 11)
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	CreateEmployeeDto	email	string	NAO	@IsEmail()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	CreateEmployeeDto	department	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	CreateEmployeeDto	jobTitle	string	NAO	@IsString()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	CreateEmployeeDto	admissionDate	string	NAO	@IsDateString()
/opt/rh-saas/backend/src/modules/employees/dto/link-user.dto.ts	LinkUserDto	userId	string	NAO	@IsUUID()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	id	string	NAO	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	tenant	Tenant	NAO	@ManyToOne(() => Tenant) @JoinColumn({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	tenantId	string	NAO	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	nullable	true,	NAO	@OneToOne(() => User, {
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	onDelete	'SET NULL',	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	user	User | null	NAO	@JoinColumn({ name: 'user_id' })
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	name	'user_id',	NAO	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	type	'uuid',	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	nullable	true,	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	userId	string | null	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	firstName	string	NAO	@Column()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	lastName	string	NAO	@Column()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	unique	true,	NAO	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	length	11,	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	cpf	string	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	email	string	NAO	@Column()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	nullable	true,	NAO	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	department	string	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	nullable	true,	NAO	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	jobTitle	string	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	type	'date',	NAO	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	admissionDate	string	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	default	true,	NAO	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	isActive	boolean	NAO	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	createdAt	Date	NAO	@CreateDateColumn()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	Employee	updatedAt	Date	NAO	@UpdateDateColumn()
/opt/rh-saas/backend/src/modules/employees/employees.module.ts	EmployeesModule	imports	[AuditModule,	NAO	@Module({
/opt/rh-saas/backend/src/modules/employees/employees.module.ts	EmployeesModule	providers	[	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.module.ts	EmployeesModule	controllers	[	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.module.ts	EmployeesModule	exports	[	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	tenantId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	data	CreateEmployeeDto,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityId	savedEmployee.id,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	action	'EMPLOYEE_CREATED',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityType	'Employee',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	where	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	relations	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	user	true,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	order	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	firstName	'ASC',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	lastName	'ASC',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	id	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	tenantId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	where	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	relations	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	user	true,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	employeeId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	tenantId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	userId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	where	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	id	employeeId,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	where	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	id	userId,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	where	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityId	savedEmployee.id,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	action	'USER_LINKED',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityType	'Employee',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	details	user.id,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	employeeId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	tenantId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	where	{	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	id	employeeId,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityId	savedEmployee.id,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	action	'USER_UNLINKED',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityType	'Employee',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	id	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	tenantId	string,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityId	id,	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	action	'EMPLOYEE_DELETED',	NAO	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	EmployeesService	entityType	'Employee',	NAO	
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	employeeProfileId	string	NAO	@IsUUID()
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	deviceId	string	SIM	@IsOptional() @IsUUID()
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	latitude	number	NAO	@Type(() => Number) @IsNumber() @Min(-90) @Max(90)
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	longitude	number	NAO	@Type(() => Number) @IsNumber() @Min(-180) @Max(180)
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	accuracyMeters	number	SIM	@IsOptional() @Type(() => Number) @IsNumber() @Min(0)
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	address	string	SIM	@IsOptional() @IsString() @MaxLength(500)
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	source	string	SIM	@IsOptional() @IsString() @MaxLength(50)
/opt/rh-saas/backend/src/modules/foundation/dto/create-location-tracking-point.dto.ts	CreateLocationTrackingPointDto	trackedAt	string	SIM	@IsOptional() @IsISO8601()
