file	field	type	decorators
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	name	'tenant_id',	@Column({
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	tenantId	string	
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	name	'user_id',	@Column({
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	userId	string	
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	action	string	@Column()
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	name	'entity_type',	@Column({
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	name	'entity_id',	@Column({
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/audit/audit.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	tenant	Tenant	@ManyToOne(() => Tenant, { onDelete: 'RESTRICT' }) @JoinColumn({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	employeeId	string	@Column({ name: 'employee_id' })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	timestamp	Date	@CreateDateColumn({ name: 'timestamp', type: 'timestamp with time zone' })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	timezone	string	@Column({ default: 'UTC' })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	eventType	ClockEventType	@Column({ type: 'enum', enum: ClockEventType })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	latitude	number	@Column({ type: 'double precision', nullable: true })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	longitude	number	@Column({ type: 'double precision', nullable: true })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	isInsideGeofence	boolean	@Column({ name: 'is_inside_geofence', default: true })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	deviceInfo	string	@Column({ name: 'device_info', type: 'text', nullable: true })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	clientIp	string	@Column({ name: 'client_ip', length: 45, nullable: true })
/opt/rh-saas/backend/src/modules/clock-events/clock-event.entity.ts	rowHash	string	@Column({ type: 'varchar', length: 64, unique: true })
/opt/rh-saas/backend/src/modules/documents/document.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/documents/document.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/documents/document.entity.ts	employeeId	string	@Column({ name: 'employee_id' })
/opt/rh-saas/backend/src/modules/documents/document.entity.ts	filename	string	@Column()
/opt/rh-saas/backend/src/modules/documents/document.entity.ts	path	string	@Column()
/opt/rh-saas/backend/src/modules/documents/document.entity.ts	isSigned	boolean	@Column({ default: false })
/opt/rh-saas/backend/src/modules/documents/document.entity.ts	createdAt	Date	@CreateDateColumn()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	firstName	string	@IsString() @IsNotEmpty()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	lastName	string	@IsString() @IsNotEmpty()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	cpf	string	@IsString() @Length(11, 11)
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	email	string	@IsEmail()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	department	string	@IsString()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	jobTitle	string	@IsString()
/opt/rh-saas/backend/src/modules/employees/dto/create-employee.dto.ts	admissionDate	string	@IsDateString()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	tenant	Tenant	@ManyToOne(() => Tenant) @JoinColumn({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	tenantId	string	@Column({ name: 'tenant_id' })
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	nullable	true,	@OneToOne(() => User, {
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	user	User | null	@JoinColumn({ name: 'user_id' })
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	name	'user_id',	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	userId	string | null	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	firstName	string	@Column()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	lastName	string	@Column()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	unique	true,	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	cpf	string	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	email	string	@Column()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	department	string	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	nullable	true,	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	type	'date',	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	admissionDate	string	
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	default	true,	@Column({
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	createdAt	Date	@CreateDateColumn()
/opt/rh-saas/backend/src/modules/employees/employee.entity.ts	updatedAt	Date	@UpdateDateColumn()
/opt/rh-saas/backend/src/modules/employees/employees.module.ts	imports	[AuditModule,	@Module({
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	tenantId	string,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	user	true,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	firstName	'ASC',	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	lastName	'ASC',	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	tenantId	string,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	user	true,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	employeeId	string,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	tenantId	string,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	userId	string,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	employeeId	string,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	tenantId	string,	
/opt/rh-saas/backend/src/modules/employees/employees.service.ts	tenantId	string,	
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'clock_events_foundation',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'employee_profile_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	employeeProfileId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'event_type_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'local_event_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'event_datetime',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'server_received_at',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'sync_status',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	type	'numeric',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'accuracy_meters',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'inside_geofence',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'selfie_required',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'selfie_file_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'local_hash',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'server_hash',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	type	'bigint',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	type	'jsonb',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-event-foundation.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'clock_justifications_foundation',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'employee_profile_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	employeeProfileId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'clock_event_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'justification_type',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'attachment_path',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'reviewed_by',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'reviewed_at',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'review_notes',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/clock-justification-foundation.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	name	'document_recipients_foundation',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	name	'document_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	name	'employee_profile_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	employeeProfileId	string	
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	name	'viewed_at',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	name	'signed_at',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	type	'jsonb',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/document-recipient-foundation.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	name	'hr_departments',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	name	'client_id',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	name	string	
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	type	'text',	@Column({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	name	'created_at',	@CreateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-department.entity.ts	name	'updated_at',	@UpdateDateColumn({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	name	'hr_employee_profiles',	@Entity({
/opt/rh-saas/backend/src/modules/foundation/entities/hr-employee-profile.entity.ts	id	string	@PrimaryGeneratedColumn('uuid')
