 table_schema |           table_name            |    column_name     |          data_type          | is_nullable |            column_default            
--------------+---------------------------------+--------------------+-----------------------------+-------------+--------------------------------------
 public       | audit_events                    | id                 | uuid                        | NO          | uuid_generate_v4()
 public       | audit_events                    | tenant_id          | character varying           | YES         | 
 public       | audit_events                    | user_id            | character varying           | YES         | 
 public       | audit_events                    | action             | character varying           | NO          | 
 public       | audit_events                    | entity_type        | character varying           | YES         | 
 public       | audit_events                    | entity_id          | character varying           | YES         | 
 public       | audit_events                    | details            | text                        | YES         | 
 public       | audit_events                    | created_at         | timestamp without time zone | NO          | now()
 public       | audit_logs                      | id                 | uuid                        | NO          | uuid_generate_v4()
 public       | audit_logs                      | userId             | character varying           | NO          | 
 public       | audit_logs                      | action             | character varying           | NO          | 
 public       | audit_logs                      | resource           | character varying           | NO          | 
 public       | audit_logs                      | payload            | jsonb                       | YES         | 
 public       | audit_logs                      | ipAddress          | character varying           | NO          | 
 public       | audit_logs                      | timestamp          | timestamp without time zone | NO          | now()
 public       | audit_logs_unified              | id                 | uuid                        | NO          | gen_random_uuid()
 public       | audit_logs_unified              | tenant_id          | uuid                        | YES         | 
 public       | audit_logs_unified              | client_id          | uuid                        | YES         | 
 public       | audit_logs_unified              | actor_user_id      | uuid                        | YES         | 
 public       | audit_logs_unified              | actor_email        | text                        | YES         | 
 public       | audit_logs_unified              | actor_role         | text                        | YES         | 
 public       | audit_logs_unified              | action             | text                        | NO          | 
 public       | audit_logs_unified              | entity_type        | text                        | YES         | 
 public       | audit_logs_unified              | entity_id          | text                        | YES         | 
 public       | audit_logs_unified              | ip_address         | text                        | YES         | 
 public       | audit_logs_unified              | user_agent         | text                        | YES         | 
 public       | audit_logs_unified              | metadata           | jsonb                       | NO          | '{}'::jsonb
 public       | audit_logs_unified              | created_at         | timestamp with time zone    | NO          | now()
 public       | clock_event_types               | name               | text                        | NO          | 
 public       | clock_event_types               | active_by_default  | boolean                     | NO          | true
 public       | clock_events                    | tenant_id          | uuid                        | NO          | 
 public       | clock_events                    | client_ip          | character varying           | YES         | 
 public       | clock_events_foundation         | client_id          | uuid                        | NO          | 
 public       | clock_events_foundation         | sync_status        | text                        | NO          | 'SYNCED'::text
 public       | clock_justifications_foundation | client_id          | uuid                        | NO          | 
 public       | clock_justifications_foundation | status             | text                        | NO          | 'PENDING'::text
 public       | clock_policies                  | client_id          | uuid                        | NO          | 
 public       | clock_policies                  | name               | text                        | NO          | 
 public       | document_recipients_foundation  | status             | text                        | NO          | 'PENDING'::text
 public       | documents                       | tenant_id          | character varying           | NO          | 
 public       | documents                       | filename           | character varying           | NO          | 
 public       | documents_foundation            | client_id          | uuid                        | NO          | 
 public       | documents_foundation            | status             | text                        | NO          | 'DRAFT'::text
 public       | employee_schedules              | tenant_id          | character varying           | NO          | 
 public       | employees                       | tenant_id          | uuid                        | NO          | 
 public       | employees                       | firstName          | character varying           | NO          | 
 public       | employees                       | lastName           | character varying           | NO          | 
 public       | employees                       | email              | character varying           | NO          | 
 public       | employees                       | isActive           | boolean                     | NO          | true
 public       | geography_columns               | f_table_name       | name                        | YES         | 
 public       | geometry_columns                | f_table_name       | name                        | YES         | 
 public       | hr_branches                     | client_id          | uuid                        | NO          | 
 public       | hr_branches                     | name               | text                        | NO          | 
 public       | hr_companies                    | client_id          | uuid                        | NO          | 
 public       | hr_companies                    | legal_name         | text                        | NO          | 
 public       | hr_companies                    | trade_name         | text                        | NO          | 
 public       | hr_cost_centers                 | client_id          | uuid                        | NO          | 
 public       | hr_cost_centers                 | name               | text                        | NO          | 
 public       | hr_departments                  | client_id          | uuid                        | NO          | 
 public       | hr_departments                  | name               | text                        | NO          | 
 public       | hr_employee_profiles            | client_id          | uuid                        | NO          | 
 public       | hr_employee_profiles            | first_name         | text                        | NO          | 
 public       | hr_employee_profiles            | last_name          | text                        | NO          | 
 public       | hr_employee_profiles            | email              | text                        | YES         | 
 public       | hr_employee_profiles            | status             | text                        | NO          | 'ACTIVE'::text
 public       | hr_geofences                    | client_id          | uuid                        | NO          | 
 public       | hr_geofences                    | name               | text                        | NO          | 
 public       | hr_geofences                    | is_active          | boolean                     | NO          | true
 public       | hr_job_functions                | client_id          | uuid                        | NO          | 
 public       | hr_job_functions                | name               | text                        | NO          | 
 public       | hr_job_positions                | client_id          | uuid                        | NO          | 
 public       | hr_job_positions                | name               | text                        | NO          | 
 public       | hr_work_locations               | client_id          | uuid                        | NO          | 
 public       | hr_work_locations               | name               | text                        | NO          | 
 public       | location_tracking_points        | client_id          | uuid                        | NO          | 
 public       | mobile_app_settings             | client_id          | uuid                        | NO          | 
